category,type,difficulty,question,correct_answer,incorrect_answers
"Entertainment: Film","multiple","medium","Before getting the shotgun, what did the titular hobo in &#039;Hobo with a Shotgun&#039; want to purchase?","a lawnmower","a revolver|a guitar|a suit"
"Entertainment: Music","multiple","easy","Which classical composer wrote the &quot;Moonlight Sonata&quot;?","Ludvig Van Beethoven","Chief Keef|Wolfgang Amadeus Mozart|Johannes Brahms"
"General Knowledge","multiple","easy","Which canal connects the Mediterranean Sea with the Red Sea?","Suez Canal","Panama Canal|Sinai Canal|Qaraqum Canal"
"Entertainment: Music","boolean","medium","The band, HEALTH, is called HEALTH because they wanted to choose an everyday word for the band name.","True","False"
"Geography","multiple","medium","Which of these is NOT an island that is part of the Philippines?","Java","Luzon|Mindanao|Palawan"
"Science &amp; Nature","multiple","medium","Approximately how long is a year on Uranus?","84 Earth years","47 Earth years|62 Earth years|109 Earth years"
"Mythology","boolean","easy","According to Greek Mythology, Zeus can control lightning.","True","False"
"Science &amp; Nature","boolean","medium","Scientists accidentally killed the once known world&#039;s oldest living creature, a mollusc, known to be aged as 507 years old.","True","False"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","Who is the horror manga artist who made Uzumaki?","Junji Ito","Kazuo Umezu|Shintaro Kago|Sui Ishida"
"Geography","multiple","medium","Broome is a town in which state of Australia?","Western Australia","Northern Territory|South Australia|Tasmania"
"Entertainment: Film","multiple","easy","Which of these Movies was NOT released in 1996?","Gladiator","Independence Day|The Rock|Mission: Impossible"
"Entertainment: Video Games","multiple","medium","What is the name of the currency in the &quot;Animal Crossing&quot; series?","Bells","Sea Shells|Leaves|Bugs"
"History","multiple","medium","What event marked the start of World War II?","Invasion of Poland (1939)","Invasion of Russia (1942)|Battle of Britain (1940)|Invasion of Normandy (1944)"
"Science: Computers","multiple","hard","Dutch computer scientist Mark Overmars is known for creating which game development engine?","Game Maker","Stencyl|Construct|Torque 2D"
"Geography","multiple","medium","What is the capital of Australia?","Canberra","Sydney|Melbourne|Brisbane"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","Which song was the callsign for Stefan Verdemann&#039;s KWFM radio station in Urasawa Naoki&#039;s &quot;Monster&quot;?","Over the Rainbow","What a Wonderful World|When You Wish Upon A Star|Singing In The Rain"
"Sports","multiple","medium","What is the nickname of Northampton town&#039;s rugby union club?","Saints","Harlequins|Saracens|Wasps"
"Geography","multiple","medium","Which of these countries is not written in its native language?","Slova&scaron;ko","Suomi|Schweiz|Ell&aacute;da"
"History","multiple","medium","Which U.S. President was in office when the Gulf War began?","George H. W. Bush","Richard Nixon|George W. Bush |Ronald Regan"
"Science: Mathematics","multiple","medium","To the nearest whole number, how many radians are in a whole circle?","6","3|4|5"
"Science &amp; Nature","boolean","easy","Not including false teeth; A human has two sets of teeth in their lifetime.","True","False"
"History","multiple","hard","The son of which pope supposedly held a lecherous f&ecirc;te involving 50 courtesans in the papal palace?","Alexander VI","Innocent V|Urban II|Pius III"
"Entertainment: Books","multiple","easy","What is the title of the first Sherlock Holmes book by Arthur Conan Doyle?","A Study in Scarlet","The Sign of the Four|A Case of Identity|The Doings of Raffles Haw"
"Entertainment: Television","multiple","medium","Out of the 3 Tots in Tots TV, who speaks French in the UK Version and Spanish in the US Version?","Tilly","Tom|Tiny|None of the Above"
"Entertainment: Books","multiple","easy","Which famous spy novelist wrote the childrens&#039; story &quot;Chitty-Chitty-Bang-Bang&quot;?","Ian Fleming","Joseph Conrad|John Buchan|Graham Greene"
"Entertainment: Music","boolean","medium","Musical artist, Future, collaborated with Kendrick Lamar for the song: &quot;Mask Off&quot;.","True","False"
"History","multiple","hard","When was the city of Rome, Italy founded?","753 BCE","902 BCE|524 BCE|697 BCE"
"Sports","multiple","hard","Which of these Russian cities did NOT contain a stadium that was used in the 2018 FIFA World Cup?","Vladivostok","Rostov-on-Don|Yekaterinburg|Kaliningrad"
"History","boolean","easy","The majority of people that lived under the Byzantine Empire called themselves Romans.","True","False"
"Vehicles","multiple","hard","What was the name of the first front-wheel-drive car produced by Datsun (now Nissan)?","Cherry","Sunny|Bluebird|Skyline"
"Science &amp; Nature","multiple","medium","What is the atomic number of Uranium ","92","235|17|167"
"General Knowledge","multiple","medium","What was the destination of the missing flight MH370?","Beijing","Kuala Lumpur|Singapore|Tokyo"
"Entertainment: Film","multiple","easy","In the movie &quot;Blade Runner&quot;, what is the term used for human-like androids ?","Replicants","Cylons|Synthetics|Skinjobs"
"Science &amp; Nature","multiple","easy","What is the official name of the star located closest to the North Celestial Pole?","Polaris","Eridanus|Gamma Cephei|Iota Cephei"
"Sports","multiple","medium","How many premier league trophies did Sir Alex Ferguson win during his time at Manchester United?","13","11|20|22"
"Mythology","multiple","easy","Which of the following is not true about the life of Tiresias?","Sailed with the Argonauts to find the golden fleece","Athena turned him into a woman, and then years later back into a man|Hera blinded him after he agreed with Zeus in an argument|Revealed to Oedipus that Oedipus had married his own mother"
"Entertainment: Television","multiple","hard","Which of these Nickelodeon game shows aired first?","Double Dare","Nick Arcade|Finders Keepers|Nickelodeon Guts"
"Entertainment: Music","boolean","easy","The music video to The Buggle&#039;s &quot;Video Killed the Radio Star&quot; was the first music video to broadcast on MTV.","True","False"
"Entertainment: Video Games","multiple","medium","Which Overwatch character says the line &quot;Heroes never die!&quot;?","Mercy","Reaper|Sonic|Ana"
"Entertainment: Board Games","multiple","hard","Which character class in Dungeons and Dragons 5th edition gains it&#039;s powers from making a pact with a being of higher power?","Warlock","Wizard|Sorceror|Cleric"
"History","boolean","medium","Brezhnev was the 5th leader of the USSR.","True","False"
"Entertainment: Video Games","multiple","medium","Who&#039;s the Captain of the S.T.A.R.S. Bravo Team in Resident Evil 1?","Enrico Marini","Albert Wesker|Richard Aiken|Rebecca Chambers"
"Science &amp; Nature","multiple","easy","About what percentage of the Earth&#039;s surface is water? ","70%","30%|50%|90%"
"Entertainment: Video Games","multiple","hard","In the game Call of Duty, what is the last level where you play as an American soldier?","Festung Recogne","Ste. Mere-Eglise (Day)|Chateau|Brecourt"
"History","multiple","medium","On which day did the attempted coup d&#039;etat of 1991 in the Soviet Union begin?","August 19","August 21|December 26|December 24"
"Sports","boolean","medium","Tennis was once known as Racquetball.","False","True"
"Science: Mathematics","multiple","medium","What is the Roman numeral for 500?","D","L|C|X"
"General Knowledge","multiple","medium","Which of these companies does NOT manufacture automobiles?","Ducati","Nissan|GMC|Fiat"
"General Knowledge","multiple","hard","Before the 19th Century, the &quot;Living Room&quot; was originally called the...","Parlor","Open Room|Sitting Room|Loft"
"Entertainment: Film","multiple","easy","What superhero has been played in film by actors Michael Keaton, Val Kilmer, George Clooney and Christian Bale?","Batman","Superman|Iron Man|Spiderman"
"Science: Mathematics","multiple","easy","In Roman Numerals, what does XL equate to?","40","60|15|90"
"Entertainment: Video Games","multiple","easy","Who are the original creators of Rachet &amp; Clank?","Insomniac Games","PixelTail Games|Rare|Bethesda"
"Entertainment: Books","multiple","easy","What was Sir Handel&#039;s original name in &quot;The Railway Series&quot; and it&#039;s animated counterpart &quot;Thomas and Friends?&quot;","Falcon","Eagle|Kyte|Swallow"
"Science: Computers","multiple","hard","What port does HTTP run on?","80","53|443|23"
"Entertainment: Comics","multiple","medium","In Marvel comics, which of the following is not one of the infinity stones?","Energy","Time|Power|Soul"
"Entertainment: Video Games","multiple","easy","The name of the Metroid series comes from what?","An enemy in the game","The final boss&#039;s name|The main character&#039;s name|A spaceship&#039;s name"
"Science &amp; Nature","boolean","easy","Salt is 100% composed of Sodium.","False","True"
"Entertainment: Film","multiple","hard","In the 1964 film &quot;Zulu&quot;, what song does the British Army company sing before the final battle?","Men of Harlech","Scotland the Brave|Colonel Bogey March|The British Grenadiers"
"Science &amp; Nature","multiple","easy","What is the standard SI unit for mass?","Kilogram","Tonne|Pound|Gram"
"Entertainment: Film","multiple","easy","Who directed the 2017 movie &quot;The Shape of Water&quot;?","Guillermo del Toro","Steven Spielberg|James Cameron|Martin Scorsese"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","The character Momonga from the &quot;Overlord&quot; series orders his servants to call him by what name?","Ainz Ooal Gown","Master|Yggdrasil|Kugane Maruyama"
"Science: Computers","multiple","easy","Which company was established on April 1st, 1976 by Steve Jobs, Steve Wozniak and Ronald Wayne?","Apple","Microsoft|Atari|Commodore"
"Science: Computers","multiple","medium","Whistler was the codename of this Microsoft Operating System.","Windows XP","Windows 2000|Windows 7|Windows 95"
"Sports","multiple","easy","How many players are there in an association football/soccer team?","11","10|9|8"
"Mythology","multiple","hard","According to Algonquian folklore, how does one transform into a Wendigo?","Participating in cannibalism.","Excessive mutilation of animal corpses.|Performing a ritual involving murder.|Drinking the blood of many slain animals."
"Entertainment: Video Games","boolean","easy","Ana was added as a new hero for the game Overwatch on July 19th, 2016.","True","False"
"Entertainment: Music","multiple","hard","Who was the original drummer for The Beatles?","Tommy Moore","Ringo Starr|Stuart Sutcliffe|Pete Best"
"General Knowledge","multiple","easy","What step in cellular respiration forms ATP?","Oxidative Phosphorylation","Glycolysis|Pyruvate Oxidation|Calvin Cycle"
"Geography","multiple","easy","What is the Polish city known to Germans as Danzig?","Gdańsk","Warsaw|Zakopane|Poznań"
"General Knowledge","multiple","hard","The Quadrangularis Reversum is best described as which of the following?","A percussion instrument","A building in Oxford University|A chess move|A geometric theorem"
"Science &amp; Nature","multiple","medium","What is the name of the cognitive bias wherein a person with low ability in a particular skill mistake themselves as being superior?","Dunning-Kruger effect","Meyers-Briggs effect|M&uuml;ller-Lyer effect|Freud-Hall effect"
"Entertainment: Video Games","multiple","easy","What is the name of Team Fortress 2&#039;s Heavy Weapons Guy&#039;s minigun?","Sasha","Betty|Anna|Diana"
"Entertainment: Musicals &amp; Theatres","multiple","hard","Which of these plays was famously first performed posthumously after the playwright committed suicide?","4.48 Psychosis","Hamilton|Much Ado About Nothing|The Birthday Party"
"History","multiple","medium","On which aircraft carrier did the Doolitte Raid launch from on April 18, 1942 during World War II?","USS Hornet","USS Enterprise|USS Lexington|USS Saratoga"
"Entertainment: Video Games","multiple","medium","Which ones of these Mario Kart games was made for the Gameboy Advance?","Mario Kart: Super Circuit","Mario Kart: Double Dash|Mario Kart 64|Super Mario Kart"
"Entertainment: Video Games","multiple","medium","Which of the following games has the most playable characters?","Timesplitters: Future Perfect","Mortal Kombat: Armageddon|Marvel Vs. Capcom 2|Dragon Ball Z: Budokai Tenkaichi 3"
"Science &amp; Nature","multiple","hard","What is considered the rarest form of color blindness?","Blue","Red|Green|Purple"
"Entertainment: Video Games","multiple","medium","In Sid Meier&#039;s Civilization V, which World Wonder can only be built in cities on or next to a desert?","Petra","The Pyramids|Alhambra|Mausoleum of Maussollos"
"Entertainment: Music","boolean","medium","Pink Guy&#039;s debut album was &quot;Pink Season&quot;.","False","True"
"Entertainment: Video Games","multiple","hard","Why was the character Trevor Philips discharged from the Air Force?","Mental Health Issues","Injuries|Disease|Danger to Others"
"Entertainment: Video Games","multiple","medium","In Kingdom Hearts which of the following people can NOT wield a keyblade?","Larxene","Xehanort|Lea|Mickey"
"Animals","multiple","hard","Which species of Brown Bear is not extinct?","Syrian Brown Bear","California Grizzly Bear|Atlas Bear|Mexican Grizzly Bear"
"Science &amp; Nature","multiple","medium","Which color cannot be produced in Roses, even through genetic alteration?","Blue","Black|Orange|Brown"
"Entertainment: Film","multiple","hard","Who Voices the Devil on Devil&#039;s Flight in Final Destination 3?","Tony Todd","Wendy Christensen|Ian McKinley|Kevin Fischer"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","What was Ash Ketchum&#039;s second Pokemon?","Caterpie","Charmander|Pikachu|Pidgey"
"History","boolean","hard","The USS Missouri (BB-63) last served in the Korean War.","False","True"
"General Knowledge","boolean","medium","The US emergency hotline is 911 because of the September 11th terrorist attacks.","False","True"
"Entertainment: Books","boolean","medium","Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.","True","False"
"Entertainment: Video Games","multiple","medium","Which company developed the MMO Spiral Knights (2011)?","Three Rings Design","Sega|Electronic Arts|Double Fine"
"Entertainment: Film","boolean","easy","&quot;Minions&quot; was released on the June 10th, 2015.","False","True"
"Entertainment: Video Games","multiple","easy","In the game Dark Souls, what is the name of the region you&#039;re in for the majority of the game?","Lordran","Drangleic|Oolacile|Catarina"
"Entertainment: Video Games","multiple","medium","What mainly favored rifle is used by the Terrorists in Counter Strike: Global Offensive?","AK-47","AK-74|M4A4|CZ-75 AUTO"
"Entertainment: Video Games","multiple","medium","Which of the following is not a playable race in the MMORPG Guild Wars 2? ","Tengu","Sylvari|Charr|Asura "
"Entertainment: Video Games","multiple","easy","Which race in Guild Wars 2 believes in the Eternal Alchemy?","Asura","Humans|Norn|Charr"
"Entertainment: Video Games","multiple","easy","Which Nintendo 64 game did NOT have Luigi in it?","Super Mario 64","Mario Party 2|Paper Mario|Super Smash Bros."
"Science &amp; Nature","multiple","medium","What is the atomic number of the element Strontium?","38","73|47|11"
"Entertainment: Film","multiple","hard","What is the species of the &quot;Predator&quot; in the 1987 movie &quot;Predator&quot;?","Yautja","Xenomorph|Praetorian|Phocrex"
"Science: Computers","multiple","hard","Which of these is not a layer in the OSI model for data communications?","Connection Layer","Application Layer|Transport Layer|Physical Layer"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","In &quot;One Piece&quot;, who confirms the existence of the legendary treasure, One Piece?","Edward &quot;Whitebeard&quot; Newgate","Former Marine Fleet Admiral Sengoku|Pirate King Gol D Roger|Silvers Rayleigh"
"Celebrities","multiple","medium","In which situation was musician John Lennon assassinated?","Attempting to enter the Dakota Apartments building","During an impromptu walk through Central Park|Signing an autograph outside the Record Plant studio|Waiting outside a music venue in Manhattan following a gig"
"Science: Computers","multiple","medium",".rs is the top-level domain for what country?","Serbia","Romania|Russia|Rwanda"
"Entertainment: Comics","multiple","easy","Which one of these superhero teams appears in the Invincible comics?","Guardians of the Globe","Avengers|Justice League|Teenage Mutant Ninja Turtles"
"History","multiple","medium","What was the total length of the Titanic?","882 ft | 268.8 m","759 ft | 231.3 m|1042 ft | 317.6 m|825 ft | 251.5 m"
"Entertainment: Books","multiple","medium","Who wrote the children&#039;s story &quot;The Little Match Girl&quot;?","Hans Christian Andersen","Charles Dickens|Lewis Carroll|Oscar Wilde"
"Entertainment: Music","multiple","medium","The 1952 musical composition 4&#039;33&quot;, composed by prolific American composer John Cage, is mainly comprised of what sound?","Silence","Farts|People talking|Cricket chirps"
"General Knowledge","multiple","easy","Who is depicted on the US hundred dollar bill?","Benjamin Franklin","George Washington|Abraham Lincoln|Thomas Jefferson"
"Entertainment: Cartoon &amp; Animations","multiple","medium","In &quot;The Simpsons&quot;, where did Homer and Marge first meet?","At Summer Camp","At High School|At Church|At 742 Evergreen Terrace"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Which of the following films was NOT directed by Hayao Miyazaki?","Wolf Children","Princess Mononoke|Spirited Away|Kiki&#039;s Delivery Service"
"Entertainment: Music","multiple","medium","Which of these Johns was murdered by gunshots outside the Dakota in New York in 1980?","John Lennon","Johnny Thunders|John Denver|John Cascella"
"Entertainment: Television","multiple","easy","In which state of America was the Fresh Prince of Bel-Air born and raised in?","Pennsylvania","Florida|California|New Jersey"
"Entertainment: Video Games","multiple","medium","Which company developed and published Game Dev Tycoon?","Greenheart Games","Greenland Games|The Tycoonists|MomCorp"
